,prospect_id,industry,business_size,region,offer_type,acquisition_channel,credit_score_band,years_in_business,mailer_sent_date,response_date,response_flag,acquisition_flag,mailing_cost_usd,estimated_monthly_charge_volume_usd,roi,cost_per_acquisition,prospect_value_tier,days_to_respond,year_month
0,100000,Education,Medium (50-249),Midwest,No Annual Fee,Lookalike Audience,700-749,1-3 yrs,2024-10-16,,0,0,1.64,0.0,-1.0,,Not Acquired,,2024-10
1,100001,Technology,Micro (1-9),Southeast,Travel Miles 2x,Partner Referral,600-649,7-15 yrs,2023-04-25,2023-05-02,1,1,2.28,465.9,3.0868,2.28,Low Value,7 days,2023-04
2,100002,Real Estate,Micro (1-9),Southwest,0% Intro APR,Cold List,750-799,3-7 yrs,2023-10-09,,0,0,2.02,0.0,-1.0,,Not Acquired,,2023-10
3,100003,Healthcare,Large (250+),Southwest,Rewards Points 3x,Cold List,750-799,7-15 yrs,2023-09-08,,0,0,2.05,0.0,-1.0,,Not Acquired,,2023-09
4,100004,Hospitality,Micro (1-9),Northeast,Travel Miles 2x,Cold List,700-749,<1 yr,2023-08-17,,0,0,2.18,0.0,-1.0,,Not Acquired,,2023-08
5,100005,Healthcare,Medium (50-249),Southeast,Rewards Points 3x,Partner Referral,650-699,<1 yr,2023-05-23,,0,0,2.01,0.0,-1.0,,Not Acquired,,2023-05
6,100006,Hospitality,Medium (50-249),West,Rewards Points 3x,Lookalike Audience,650-699,<1 yr,2023-04-15,2023-05-13,1,1,2.05,18354.79,178.0711,2.05,Mid Value,28 days,2023-04
7,100007,Logistics,Medium (50-249),Southwest,0% Intro APR,Cold List,800+,7-15 yrs,2024-07-12,,0,0,1.97,0.0,-1.0,,Not Acquired,,2024-07
8,100008,Education,Medium (50-249),Southwest,Rewards Points 3x,Cold List,700-749,3-7 yrs,2023-03-31,,0,0,2.13,0.0,-1.0,,Not Acquired,,2023-03
9,100009,Technology,Small (10-49),West,0% Intro APR,Past Inquiry,700-749,3-7 yrs,2024-08-27,,0,0,1.95,0.0,-1.0,,Not Acquired,,2024-08
10,100010,Real Estate,Small (10-49),Midwest,Cash Back 2%,Cold List,700-749,7-15 yrs,2024-03-08,,0,0,1.75,0.0,-1.0,,Not Acquired,,2024-03
11,100011,Manufacturing,Large (250+),Midwest,0% Intro APR,Cold List,800+,15+ yrs,2023-02-02,,0,0,1.98,0.0,-1.0,,Not Acquired,,2023-02
12,100012,Manufacturing,Medium (50-249),Midwest,Rewards Points 3x,Cold List,750-799,<1 yr,2023-01-31,,0,0,2.05,0.0,-1.0,,Not Acquired,,2023-01
13,100013,Logistics,Micro (1-9),Midwest,Cash Back 2%,Lookalike Audience,650-699,1-3 yrs,2023-04-06,,0,0,1.75,0.0,-1.0,,Not Acquired,,2023-04
14,100014,Hospitality,Medium (50-249),Northeast,Cash Back 2%,Cold List,650-699,15+ yrs,2023-08-12,,0,0,1.84,0.0,-1.0,,Not Acquired,,2023-08
15,100015,Retail,Large (250+),Southwest,No Annual Fee,Cold List,700-749,7-15 yrs,2023-08-27,,0,0,1.66,0.0,-1.0,,Not Acquired,,2023-08
